Comment,Designator,Footprint,LCSC Parts #
100nF,"C2, C4, C13, C14, C15",Capacitor_SMD:C_0805_2012Metric,C49678
10nF,"C5, C16, C17, C18",Capacitor_SMD:C_0805_2012Metric,C49678
100nF,"C6, C7, C8, C9",Capacitor_SMD:C_0402_1005Metric,C307331
22pF,"C10, C11",Capacitor_SMD:C_0805_2012Metric,C1653
10uF,C12,Capacitor_SMD:C_0805_2012Metric,C49678
M7,D1,Diode_SMD:D_SMA,C95872
LED,"D2, D3",LED_SMD:LED_0805_2012Metric,C34499
DBG_LED,D4,LED_SMD:LED_0805_2012Metric,C2296
MMBT2222A-TP,Q1,digikey-footprints:SOT-23-3,C8512
10K,"R1, R5, R7",Resistor_SMD:R_0805_2012Metric,C17414
4.7K,"R2, R3",Resistor_SMD:R_0805_2012Metric,C17673
100,R4,Resistor_SMD:R_0805_2012Metric,C17408
1.2K,R6,Resistor_SMD:R_0805_2012Metric,C17379
1K,R8,Resistor_SMD:R_0805_2012Metric,C17513
560,R9,Resistor_SMD:R_0805_2012Metric,C28636
RESET,S1,Button_Switch_SMD:SW_SPST_TL3342,C318884
AMS1117-5.0,U1,digikey-footprints:SOT-223,C6187
ATMEGA328P-AU,U2,Package_QFP:TQFP-32_7x7mm_P0.8mm,C14877
16MHz,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
